年,月,日,大分類,中分類,小分類,詳細,金額,価値分類,支払い先,支払い方法
2025,12,1,支出,娯楽費,prime video,アニメタイムズチャンネル,437 ,浪費,Amazon,楽天カード
2025,12,1,支出,保険料,,モバイル保険,700 ,リスク対策費,さくら少額短期保険株式会社,楽天カード
2025,12,1,収入,副業収入,,,89 ,収入,Amazon,SBI銀行口座
2025,12,2,支出,交通費,車両費,自動車ローン,"39,900 ",必要消費,トヨタファイナンス,足利銀行口座
2025,12,2,支出,日用品費,,年賀ハガキ,255 ,必要消費,宝木郵便局,PayPay
2025,12,2,支出,通信費,iCloud,Apple One,"1,980 ",必要消費,Apple,楽天カード
2025,12,2,支出,飲食費,喫茶店,コーヒー代,450 ,浪費,タリーズコーヒー,PayPay
2025,12,2,支出,酒代,,,928 ,浪費,Family Mart,PayPay
2025,12,3,支出,居住費,,住宅ローン,"43,669 ",必要消費,栃木銀行,栃木銀行口座
2025,12,4,支出,投資,,セゾン投信,"10,000 ",投資,クレディセゾン,足利銀行口座
2025,12,4,支出,通信費,,Office,"21,300 ",選択消費,Microsoft,楽天カード
2025,12,5,支出,交通費,,ガソリン代,"5,084 ",必要消費,ガソリンスタンド,楽天カード
2025,12,5,収入,賞与,,医療法人ヒポクラテス,"507,310 ",収入,医療法人ヒポクラテス,足利銀行口座
2025,12,5,支出,社会保険,,介護保険料,"4,031 ",公的支出,,足利銀行口座
2025,12,5,支出,社会保険,,健康保険料,"24,894 ",公的支出,,足利銀行口座
2025,12,5,支出,社会保険,,厚生年金,"46,390 ",公的支出,,足利銀行口座
2025,12,5,支出,社会保険,,雇用保険,"2,790 ",公的支出,,足利銀行口座
2025,12,5,支出,税金,,所得税,"26,293 ",公的支出,,足利銀行口座
2025,12,5,支出,教育費,習い事,絵画教室,"8,000 ",教育投資,キララアート,足利銀行口座
2025,12,6,支出,娯楽費,その他,ぺケッツ,300 ,選択消費,Family Mart,現金
2025,12,6,支出,日用品費,,切手代,140 ,選択消費,Family Mart,現金
2025,12,6,支出,飲食費,,麦茶,236 ,必要消費,Family Mart,現金
2025,12,6,収入,交際費,,おこづかい,"5,000 ",収入,妻,現金
2025,12,6,支出,飲食費,,食費,"1,620 ",選択消費,McDonald,PayPay
2025,12,6,支出,交際費,,リンゴ狩り,"1,380 ",選択消費,福田りんご園,PayPay
2025,12,6,支出,交際費,,キッズランド,"2,800 ",選択消費,キッズランドUS,楽天カード
2025,12,8,支出,教育費,学費,宝木小学校学費,"4,213 ",教育投資,宝木小学校,足利銀行口座
2025,12,8,支出,教育費,学費,宝木小学校学費,"5,150 ",教育投資,宝木小学校,足利銀行口座
2025,12,8,支出,水道光熱費,,ガス料金,"8,779 ",必要消費,ヤチネン,足利銀行口座
2025,12,8,支出,特別費,プレゼント代,クリスマスプレゼント,"9,927 ",必要消費,Amazon,楽天カード
2025,12,8,支出,娯楽費,,Adobe,"3,278 ",自己投資,Adobe,楽天カード
2025,12,8,支出,娯楽費,prime video,東映アニメチャンネル,350 ,浪費,Amazon,楽天カード
2025,12,8,支出,娯楽費,,Kindle Unlimited,980 ,自己投資,Amazon,楽天カード
2025,12,10,支出,飲食費,喫茶店,コーヒー代,"1,445 ",浪費,タリーズコーヒー,PayPay
2025,12,10,支出,飲食費,食費,ミニトマト・牛乳,436 ,必要消費,福田屋,楽天カード
