合計 / 金額,列ラベル,,,,
,2025,2025 集計,(空白),(空白) 集計,総計
行ラベル,12,,(空白),,
支出,775606,775606,,,775606
飲食費,7276,7276,,,7276
喫茶店,3215,3215,,,3215
食費,436,436,,,436
(空白),3625,3625,,,3625
飲料費,7759,7759,,,7759
炭酸水,3779,3779,,,3779
(空白),3980,3980,,,3980
居住費,43669,43669,,,43669
(空白),43669,43669,,,43669
教育費,34213,34213,,,34213
学費,9363,9363,,,9363
習い事,8000,8000,,,8000
(空白),16850,16850,,,16850
娯楽費,102828,102828,,,102828
Nintendo Switch,346,346,,,346
prime video,787,787,,,787
その他,300,300,,,300
(空白),101395,101395,,,101395
交際費,4180,4180,,,4180
(空白),4180,4180,,,4180
交通費,54899,54899,,,54899
ガソリン代,9915,9915,,,9915
車両費,39900,39900,,,39900
(空白),5084,5084,,,5084
雑費,3027,3027,,,3027
喫茶店,1035,1035,,,1035
仕事,1012,1012,,,1012
(空白),980,980,,,980
社会保険,78105,78105,,,78105
(空白),78105,78105,,,78105
社会保険料,51854,51854,,,51854
(空白),51854,51854,,,51854
酒代,4239,4239,,,4239
(空白),4239,4239,,,4239
習い事,7810,7810,,,7810
スイミング,7810,7810,,,7810
書籍,3399,3399,,,3399
本,1749,1749,,,1749
(空白),1650,1650,,,1650
食費,2610,2610,,,2610
昼食,2610,2610,,,2610
水道光熱費,21435,21435,,,21435
(空白),21435,21435,,,21435
税金,105873,105873,,,105873
(空白),105873,105873,,,105873
通信費,40006,40006,,,40006
iCloud,1980,1980,,,1980
(空白),38026,38026,,,38026
投資,20000,20000,,,20000
(空白),20000,20000,,,20000
特別費,24093,24093,,,24093
お年賀,2592,2592,,,2592
プレゼント代,16087,16087,,,16087
誕生日ケーキ,3500,3500,,,3500
本,1914,1914,,,1914
日用品,1320,1320,,,1320
文具,1320,1320,,,1320
日用品費,20285,20285,,,20285
日用品,659,659,,,659
(空白),19626,19626,,,19626
保険料,136726,136726,,,136726
医療保険,113238,113238,,,113238
生命保険,2910,2910,,,2910
(空白),20578,20578,,,20578
収入,963316,963316,,,963316
給与,359564,359564,,,359564
(空白),359564,359564,,,359564
交際費,5000,5000,,,5000
(空白),5000,5000,,,5000
手当,40000,40000,,,40000
(空白),40000,40000,,,40000
賞与,507310,507310,,,507310
(空白),507310,507310,,,507310
副業収入,128,128,,,128
(空白),128,128,,,128
副収入,314,314,,,314
(空白),314,314,,,314
臨時収入,51000,51000,,,51000
(空白),51000,51000,,,51000
(空白),,,,,
(空白),,,,,
(空白),,,,,
総計,1738922,1738922,,,1738922
